label,positive_count,negative_count,prevalence,auc,average_precision
any,701,4299,0.1402,0.9164457514088636,0.7097307273631884
epidural,17,4983,0.0034,0.7495838793072918,0.07439583757094773
intraparenchymal,254,4746,0.0508,0.9112597097929129,0.6316264832970391
intraventricular,160,4840,0.032,0.943907541322314,0.6490518753201949
subarachnoid,234,4766,0.0468,0.8392414574747766,0.2825764790374323
subdural,301,4699,0.0602,0.874984357313601,0.4507626686946126
