mean_predicted_probability,fraction_of_positives
0.0005945156073757491,0.0
0.002451436747796792,0.002
0.006486877579241975,0.01
0.01497996208816766,0.008
0.037176428288221354,0.024
0.09675219720602034,0.054
0.27146592462062835,0.092
0.6095132323503494,0.14
0.9110849552154541,0.34
0.9959516419172287,0.732
