comparison,model_a,model_b,metric,model_a_value,model_b_value,difference,difference_ci_low,difference_ci_high,bootstrap_p_value,n_bootstrap
ConvNeXt-Tiny - DenseNet121,ConvNeXt-Tiny,DenseNet121,auc,0.9457890714723491,0.9364761204128352,0.009312951059513908,0.0018399511680220672,0.01648203692661167,0.009,2000
ConvNeXt-Tiny - DenseNet121,ConvNeXt-Tiny,DenseNet121,average_precision,0.816036290036051,0.7815546469517965,0.0344816430842545,0.017093674296739858,0.051271819295751905,0.0,2000
ConvNeXt-Tiny - EfficientNet-B0,ConvNeXt-Tiny,EfficientNet-B0,auc,0.9457890714723491,0.9164457514088636,0.0293433200634855,0.019851056826074055,0.039057319835850764,0.0,2000
ConvNeXt-Tiny - EfficientNet-B0,ConvNeXt-Tiny,EfficientNet-B0,average_precision,0.816036290036051,0.7097307273631884,0.10630556267286262,0.08127633502825954,0.1320753656518872,0.0,2000
DenseNet121 - EfficientNet-B0,DenseNet121,EfficientNet-B0,auc,0.9364761204128352,0.9164457514088636,0.020030369003971593,0.011075573591576095,0.0294478835770785,0.0,2000
DenseNet121 - EfficientNet-B0,DenseNet121,EfficientNet-B0,average_precision,0.7815546469517965,0.7097307273631884,0.07182391958860812,0.04623791491885945,0.09787534453630883,0.0,2000
