label,positive_count,negative_count,prevalence,auc,auc_ci_low,auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,n_bootstrap
any,701,4299,0.1402,0.9457890714723491,0.9369985356379532,0.9538488033743043,0.816036290036051,0.7921650758015936,0.8397458827136253,2000
epidural,17,4983,0.0034,0.9388391118036619,0.9011332648652477,0.9681242695753797,0.05621369387791479,0.02966820266154968,0.16035138220118217,2000
intraparenchymal,254,4746,0.0508,0.9709369846468306,0.9623104703173165,0.9789312840319738,0.7706242500098085,0.7246298146655922,0.8158251584553324,2000
intraventricular,160,4840,0.032,0.9902440599173553,0.9842541967975206,0.9944469589359505,0.8472037810664331,0.8011805064980658,0.8903286069757111,2000
subarachnoid,234,4766,0.0468,0.9267397986449603,0.9096890007926517,0.9412952232874601,0.4985313261281923,0.4360248599016164,0.5636028317965706,2000
subdural,301,4699,0.0602,0.9146188593176324,0.8988139131885698,0.9303204930150545,0.5976482954065957,0.5452434499537496,0.6480435042435221,2000
