label,positive_count,negative_count,prevalence,auc,average_precision
any,701,4299,0.1402,0.9457890714723491,0.816036290036051
epidural,17,4983,0.0034,0.9388391118036619,0.05621369387791479
intraparenchymal,254,4746,0.0508,0.9709369846468306,0.7706242500098085
intraventricular,160,4840,0.032,0.9902440599173553,0.8472037810664331
subarachnoid,234,4766,0.0468,0.9267397986449603,0.4985313261281923
subdural,301,4699,0.0602,0.9146188593176324,0.5976482954065957
