mean_predicted_probability,fraction_of_positives
0.0010458776865270435,0.0
0.003955411178758345,0.0
0.0071033580731600385,0.004
0.012751137137413016,0.004
0.02151514205709099,0.024
0.0386476487442851,0.03
0.0823782897517085,0.06
0.21840835443139076,0.128
0.6031011589169503,0.302
0.9424681811332702,0.85
