label,positive_count,negative_count,prevalence,auc,auc_ci_low,auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,n_bootstrap
any,701,4299,0.1402,0.9164457514088636,0.9062104563347679,0.9264562488240805,0.7097307273631884,0.6817965104394418,0.7389088061030338,2000
epidural,17,4983,0.0034,0.7495838793072918,0.616552454816966,0.8690122888408826,0.07439583757094773,0.00814485459714967,0.208924754179896,2000
intraparenchymal,254,4746,0.0508,0.9112597097929129,0.8885748794675004,0.9315030518862132,0.6316264832970391,0.5731531519364756,0.6871932404841415,2000
intraventricular,160,4840,0.032,0.943907541322314,0.9205231146694216,0.9643957902892561,0.6490518753201949,0.5778934160205778,0.7206887774511593,2000
subarachnoid,234,4766,0.0468,0.8392414574747766,0.8138139501310923,0.8650138220873638,0.2825764790374323,0.234986498602389,0.3444995138169902,2000
subdural,301,4699,0.0602,0.874984357313601,0.8534637856785816,0.8956116343408048,0.4507626686946126,0.39864212014997,0.5081007943085929,2000
